"sample","family","genus","species","number","length","stage","activity","periodtime","range","scientific"
"POC25002","Carangidae","Decapterus","spp",1,NA,"AD","Passing",16.074,1499.9686,"Carangidae Decapterus spp"
"POC25002","Carangidae","Decapterus","spp",1,NA,"AD","Passing",16.074,1433.32738,"Carangidae Decapterus spp"
"POC25002","Echeneidae","Echeneis","naucrates",1,NA,"AD","Passing",29.47867,1618.66389,"Echeneidae Echeneis naucrates"
"POC25002","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",29.79,1739.58958,"Synodontidae Saurida undosquamis"
"POC25002","Carangidae","Carangoides","sp10",1,NA,"AD","Passing",35.07933,1513.52206,"Carangidae Carangoides sp10"
"POC25002","Carangidae","Carangoides","sp10",1,NA,"AD","Passing",35.07933,1589.19725,"Carangidae Carangoides sp10"
"POC25002","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",47.704,1804.68885,"Ariidae Netuma thalassina"
"POC25002","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",48.012,1575.53472,"Tetraodontidae Lagocephalus lunaris"
"POC24008","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",19.52,2086.75413,"Carangidae Caranx ignobilis"
"POC24008","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",48.60333,1519.49503,"Tetraodontidae Lagocephalus lunaris"
"POC24008","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",48.60333,1867.37747,"Tetraodontidae Lagocephalus lunaris"
"POC24008","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",53.578,1661.24614,"Synodontidae Saurida undosquamis"
"POC24008","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",53.578,1617.47191,"Synodontidae Saurida undosquamis"
"POC24008","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",53.578,1898.92728,"Synodontidae Saurida undosquamis"
"POC13001","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",1.624,2226.05604,"Tetraodontidae Lagocephalus lunaris"
"POC13001","Synodontidae","Trachinocephalus","trachinus",1,NA,"AD","Passing",2.89933,1790.43138,"Synodontidae Trachinocephalus myops"
"POC13001","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",12.15467,1586.67513,"Ariidae Netuma thalassina"
"POC13001","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",18.252,2135.77363,"Carangidae Carangoides chrysophrys"
"POC13001","Carangidae","Carangoides","chrysophrys",3,NA,"AD","Passing",18.26133,1524.78527,"Carangidae Carangoides chrysophrys"
"POC13001","Mullidae","Upeneus","moluccensis",1,NA,"AD","Passing",27.17467,1594.15228,"Mullidae Upeneus moluccensis"
"POC13001","Synodontidae","Synodus","indicus",1,NA,"AD","Passing",58.844,2313.22482,"Synodontidae Synodus indicus"
"POC25004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",2.23333,1955.05113,"Nemipteridae Nemipterus spp"
"POC25004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",2.23333,1839.87909,"Nemipteridae Nemipterus spp"
"POC25004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",2.23333,1843.30419,"Nemipteridae Nemipterus spp"
"POC25004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",2.23333,1799.54805,"Nemipteridae Nemipterus spp"
"POC25004","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",5.094,2555.66655,"Synodontidae Saurida undosquamis"
"POC25004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",20.69067,3094.93228,"Carangidae Carangoides chrysophrys"
"POC25004","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",30.69,2594.23654,"Tetraodontidae Lagocephalus lunaris"
"POC25004","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",30.69533,2766.25658,"Tetraodontidae Lagocephalus lunaris"
"POC25004","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",30.70067,1849.92808,"Tetraodontidae Lagocephalus lunaris"
"POC25004","Tetraodontidae","Lagocephalus","sceleratus",1,NA,"AD","Passing",45.15,1639.92257,"Tetraodontidae Lagocephalus sceleratus"
"POC25004","Carangidae","Carangoides","sp10",1,NA,"AD","Passing",50.83467,522.25989,"Carangidae Carangoides sp10"
"POC25004","Carangidae","Carangoides","sp10",1,NA,"AD","Passing",50.83467,1670.77034,"Carangidae Carangoides sp10"
"POC25004","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",51.776,2604.11881,"Ariidae Netuma thalassina"
"POC37004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",12.786,1780.65439,"Nemipteridae Nemipterus spp"
"POC13002","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",8.06467,2937.25209,"Ariidae Netuma thalassina"
"POC13002","Carcharhinidae","Carcharhinus","coatesi",1,NA,"AD","Passing",11.93733,1072.56835,"Carcharhinidae Carcharhinus coatesi"
"POC13002","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",14.022,3227.02323,"Carangidae Caranx ignobilis"
"POC13002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",16.10467,2618.35085,"Carangidae Carangoides chrysophrys"
"POC13002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",16.126,3212.01752,"Carangidae Carangoides chrysophrys"
"POC13007","Echeneidae","Echeneis","naucrates",1,NA,"AD","Passing",25.59667,884.10705,"Echeneidae Echeneis naucrates"
"POC13007","Carcharhinidae","Carcharhinus","sorrah",1,NA,"AD","Feeding",26.598,1672.0609,"Carcharhinidae Carcharhinus sorrah"
"POC13007","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",31.45533,1532.4743,"Carangidae Carangoides chrysophrys"
"POC13007","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",31.45533,1232.88041,"Carangidae Carangoides chrysophrys"
"POC13007","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",31.45533,1238.68046,"Carangidae Carangoides chrysophrys"
"POC38004","Carangidae","Seriola","hippos",1,NA,"AD","Passing",27.48467,1038.06136,"Carangidae Seriola hippos"
"POC13009","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",6.36133,2018.46204,"Tetraodontidae Lagocephalus lunaris"
"POC13009","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",58.24133,2395.17416,"Carangidae Carangoides chrysophrys"
"POC13009","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",58.272,1850.35725,"Carangidae Carangoides chrysophrys"
"POC13009","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",58.272,2415.81273,"Carangidae Carangoides chrysophrys"
"POC13009","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",58.272,1804.19699,"Carangidae Carangoides chrysophrys"
"POC24009","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",5.034,1404.71107,"Nemipteridae Nemipterus spp"
"POC24009","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",5.034,1410.00251,"Nemipteridae Nemipterus spp"
"POC24009","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",5.034,1415.58108,"Nemipteridae Nemipterus spp"
"POC24009","Bothidae","Unknown","spp",1,NA,"AD","Passing",9.83,1509.80632,"Bothidae Unknown spp"
"POC24009","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",19.38,2463.08595,"Carangidae Carangoides chrysophrys"
"POC24009","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",45.946,3185.44797,"Tetraodontidae Lagocephalus lunaris"
"POC24009","Sphyrnidae","Sphyrna","mokarran",1,NA,"AD","Passing",49.84267,2322.53142,"Sphyrnidae Sphyrna mokarran"
"POC24009","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.84867,2536.12597,"Carangidae Decapterus spp"
"POC24009","Echeneidae","Echeneis","naucrates",1,NA,"AD","Passing",49.85067,2004.31056,"Echeneidae Echeneis naucrates"
"POC11013","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",2.84067,1347.7902,"Nemipteridae Nemipterus spp"
"POC11013","Echeneidae","Echeneis","naucrates",1,NA,"AD","Passing",35.71867,1577.12696,"Echeneidae Echeneis naucrates"
"POC11013","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",52.52333,2459.65362,"Carangidae Carangoides chrysophrys"
"POC11013","Carangidae","Carangoides","chrysophrys",6,NA,"AD","Passing",52.52333,2123.39652,"Carangidae Carangoides chrysophrys"
"POC11002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",6.022,2073.883,"Carangidae Carangoides chrysophrys"
"POC11002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",6.022,3047.41586,"Carangidae Carangoides chrysophrys"
"POC11002","Labridae","Bodianus","solatus",1,NA,"AD","Passing",18.92533,3706.53871,"Labridae Bodianus solatus"
"POC11002","Lutjanidae","Lutjanus","sebae",1,NA,"AD","Passing",28.862,2831.38248,"Lutjanidae Lutjanus sebae"
"POC11002","Carcharhinidae","Carcharhinus","coatesi",1,NA,"AD","Passing",31.88733,2075.44907,"Carcharhinidae Carcharhinus coatesi"
"POC11002","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",32.80533,1903.36624,"Lutjanidae Pristipomoides multidens"
"POC11002","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",32.80533,2103.89252,"Lutjanidae Pristipomoides multidens"
"POC11002","Sparidae","Argyrops","spinifer",1,NA,"AD","Passing",52.31267,2174.74165,"Sparidae Argyrops spinifer"
"POC11002","Balistidae","Abalistes","stellatus",1,NA,"AD","Passing",53.708,2593.51811,"Balistidae Abalistes stellatus"
"POC11002","Balistidae","Abalistes","stellatus",1,NA,"AD","Passing",53.708,2405.56277,"Balistidae Abalistes stellatus"
"POC38005","Tetraodontidae","Arothron","stellatus",1,NA,"AD","Passing",3.18133,635.22169,"Tetraodontidae Arothron stellatus"
"POC38005","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",43.60933,2217.44642,"Carangidae Caranx ignobilis"
"POC13005","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",2.20133,2878.90729,"Ariidae Netuma thalassina"
"POC13005","Carcharhinidae","Carcharhinus","sorrah",1,NA,"AD","Passing",4.24933,1832.58923,"Carcharhinidae Carcharhinus sorrah"
"POC13005","Scombridae","Scomberomorus","spp",1,NA,"AD","Passing",11.86333,1424.1844,"Scombridae Scomberomorus spp"
"POC13005","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",18.526,2440.13343,"Carangidae Carangoides chrysophrys"
"POC13005","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",31.814,1034.45644,"Ariidae Netuma thalassina"
"POC13005","Terapontidae","Terapon","jarbua",1,NA,"AD","Passing",43.47867,1252.31131,"Terapontidae Terapon jarbua"
"POC37003","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.57067,1246.58719,"Nemipteridae Nemipterus spp"
"POC37003","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.57067,1274.28546,"Nemipteridae Nemipterus spp"
"POC37003","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.57067,1291.83295,"Nemipteridae Nemipterus spp"
"POC37003","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.57067,1283.93257,"Nemipteridae Nemipterus spp"
"POC37003","Sphyraenidae","Sphyraena","qenie",1,NA,"AD","Passing",48.71333,2113.86418,"Sphyraenidae Sphyraena qenie"
"POC37003","Synodontidae","Saurida","undosquamis",1,NA,"AD","Feeding",52.69667,1092.12006,"Synodontidae Saurida undosquamis"
"POC37005","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",1.48933,2323.27543,"Lutjanidae Pristipomoides multidens"
"POC37005","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",1.48933,1779.05485,"Lutjanidae Pristipomoides multidens"
"POC37005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.61533,1854.90731,"Nemipteridae Nemipterus spp"
"POC37005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.61533,1982.26539,"Nemipteridae Nemipterus spp"
"POC37005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.61533,1598.86119,"Nemipteridae Nemipterus spp"
"POC37005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",3.61133,1902.69219,"Nemipteridae Nemipterus spp"
"POC37005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",3.61133,2465.60802,"Nemipteridae Nemipterus spp"
"POC37005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",3.61133,2142.48818,"Nemipteridae Nemipterus spp"
"POC37005","Carcharhinidae","Galeocerdo","cuvier",1,NA,"AD","Passing",19.48933,659.28453,"Carcharhinidae Galeocerdo cuvier"
"POC39001","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",20.708,5265.11179,"Carangidae Carangoides chrysophrys"
"POC12002","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",5.574,1866.13493,"Nemipteridae Nemipterus spp"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,4941.96598,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,5786.22099,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,5137.27018,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,4271.0362,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,3452.25697,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,2411.78907,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,2304.86018,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,2239.20349,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.78267,4211.86388,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.796,3004.13274,"Carangidae Carangoides chrysophrys"
"POC12002","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.796,5156.98108,"Carangidae Carangoides chrysophrys"
"POC11014","Carangidae","Carangoides","chrysophrys",2,NA,"AD","Passing",11.988,2234.58419,"Carangidae Carangoides chrysophrys"
"POC11014","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",25.67333,1660.53875,"Ariidae Netuma thalassina"
"POC11009","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",23.08867,1811.32878,"Carangidae Caranx ignobilis"
"POC11009","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",23.12,1648.70748,"Carangidae Caranx ignobilis"
"POC11009","Sparidae","Argyrops","spinifer",1,NA,"AD","Passing",31.41867,1411.9171,"Sparidae Argyrops spinifer"
"POC11009","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",45.052,2262.41542,"Lutjanidae Pristipomoides multidens"
"POC11009","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",46.71267,1529.36067,"Lutjanidae Pristipomoides multidens"
"POC11009","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",47.17933,1524.61629,"Lutjanidae Pristipomoides multidens"
"POC11009","Carangidae","Carangoides","sp1",1,NA,"AD","Passing",54.30667,3558.18917,"Carangidae Carangoides sp1"
"POC11011","Carcharhinidae","Carcharhinus","sorrah",1,NA,"AD","Passing",0.06733,1378.55918,"Carcharhinidae Carcharhinus sorrah"
"POC11011","Bothidae","Unknown","spp",1,NA,"AD","Passing",53.06133,1226.12597,"Bothidae Unknown spp"
"POC24006","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",37.48733,2197.57501,"Carangidae Carangoides chrysophrys"
"POC24006","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",40.31333,2052.37833,"Tetraodontidae Lagocephalus lunaris"
"POC24006","Sphyrnidae","Sphyrna","lewini",1,NA,"AD","Passing",53.06533,1713.7205,"Sphyrnidae Sphyrna lewini"
"POC11003","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",3.78133,1198.84011,"Ariidae Netuma thalassina"
"POC11003","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",19.92867,3422.70489,"Carangidae Carangoides chrysophrys"
"POC11003","Lutjanidae","Lutjanus","vitta",1,NA,"AD","Passing",21.482,1828.9833,"Lutjanidae Lutjanus vitta"
"POC11003","Lutjanidae","Lutjanus","vitta",1,NA,"AD","Passing",21.482,1821.59429,"Lutjanidae Lutjanus vitta"
"POC11003","Serranidae","Epinephelus","areolatus",1,NA,"AD","Passing",24.62467,1315.77095,"Serranidae Epinephelus areolatus"
"POC11003","Serranidae","Epinephelus","areolatus",1,NA,"AD","Passing",24.62467,1225.44126,"Serranidae Epinephelus areolatus"
"POC11003","Lutjanidae","Lutjanus","sebae",1,NA,"AD","Passing",25.40267,1390.97692,"Lutjanidae Lutjanus sebae"
"POC11003","Lutjanidae","Lutjanus","sebae",1,NA,"AD","Passing",25.40267,1223.8875,"Lutjanidae Lutjanus sebae"
"POC11003","Lutjanidae","Lutjanus","sebae",1,NA,"AD","Passing",25.40267,1289.97284,"Lutjanidae Lutjanus sebae"
"POC11003","Lutjanidae","Lutjanus","sebae",1,NA,"AD","Passing",25.40267,1475.98739,"Lutjanidae Lutjanus sebae"
"POC11003","Lethrinidae","Gymnocranius","grandoculis",1,NA,"AD","Passing",26.70267,2003.26513,"Lethrinidae Gymnocranius grandoculis"
"POC11003","Lethrinidae","Gymnocranius","grandoculis",1,NA,"AD","Passing",26.70267,2005.74994,"Lethrinidae Gymnocranius grandoculis"
"POC12003","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",35.174,2559.76777,"Carangidae Caranx ignobilis"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.136,2427.27346,"Carangidae Caranx tille"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.144,2417.61011,"Carangidae Caranx tille"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.14667,4543.70098,"Carangidae Caranx tille"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.14933,1374.31571,"Carangidae Caranx tille"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.152,1845.68819,"Carangidae Caranx tille"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.152,3302.34684,"Carangidae Caranx tille"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.15533,4427.94206,"Carangidae Caranx tille"
"POC12003","Carangidae","Caranx","tille",1,NA,"AD","Passing",50.156,3734.35343,"Carangidae Caranx tille"
"POC13008","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",0.75267,1594.43384,"Nemipteridae Nemipterus spp"
"POC13008","Carangidae","Carangoides","chrysophrys",5,NA,"AD","Passing",22.30133,1789.84523,"Carangidae Carangoides chrysophrys"
"POC13008","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",22.30133,1973.19602,"Carangidae Carangoides chrysophrys"
"POC13008","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",26.38867,1962.21206,"Ariidae Netuma thalassina"
"POC13008","Sphyrnidae","Sphyrna","mokarran",1,NA,"AD","Passing",43.61933,2477.17147,"Sphyrnidae Sphyrna mokarran"
"POC11012","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",26.58333,2574.55647,"Synodontidae Saurida undosquamis"
"POC11012","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",35.06533,1644.25767,"Nemipteridae Nemipterus spp"
"POC11012","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",37.70133,2356.68822,"Carangidae Caranx ignobilis"
"POC11012","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",38.932,2197.62887,"Tetraodontidae Lagocephalus lunaris"
"POC11012","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",49.63333,2169.71229,"Carangidae Carangoides chrysophrys"
"POC11012","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",49.63333,2221.01606,"Carangidae Carangoides chrysophrys"
"POC11012","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",49.63333,1576.12882,"Carangidae Carangoides chrysophrys"
"POC11012","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",49.63333,1559.56348,"Carangidae Carangoides chrysophrys"
"POC11012","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",49.63333,1650.21589,"Carangidae Carangoides chrysophrys"
"POC11015","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",10.93467,1624.00992,"Nemipteridae Nemipterus spp"
"POC11015","Nemipteridae","Nemipterus","spp",2,NA,"AD","Passing",10.93467,1185.81367,"Nemipteridae Nemipterus spp"
"POC11015","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",29.824,632.37598,"Tetraodontidae Lagocephalus lunaris"
"POC11015","Sphyrnidae","Sphyrna","mokarran",1,NA,"AD","Passing",58.88667,2689.46304,"Sphyrnidae Sphyrna mokarran"
"POC11015","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",58.96133,1964.10325,"Carangidae Caranx ignobilis"
"POC12010","Tetraodontidae","Lagocephalus","sceleratus",1,NA,"AD","Passing",11.43667,4313.03739,"Tetraodontidae Lagocephalus sceleratus"
"POC26003","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",4.06533,1707.02075,"Tetraodontidae Lagocephalus lunaris"
"POC26003","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",28.62533,1591.59981,"Synodontidae Saurida undosquamis"
"POC26003","Echeneidae","Echeneis","naucrates",1,NA,"AD","Passing",31.08067,1090.73007,"Echeneidae Echeneis naucrates"
"POC26003","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",38.826,1753.7592,"Carangidae Carangoides chrysophrys"
"POC26003","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",38.826,2918.87109,"Carangidae Carangoides chrysophrys"
"POC26003","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",40.46933,1514.03031,"Ariidae Netuma thalassina"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.02,1277.57869,"Carangidae Decapterus spp"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.02,1267.3308,"Carangidae Decapterus spp"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.02,1275.54868,"Carangidae Decapterus spp"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.02,1286.76329,"Carangidae Decapterus spp"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.028,1781.41646,"Carangidae Decapterus spp"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.062,1411.60782,"Carangidae Decapterus spp"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.062,1247.08287,"Carangidae Decapterus spp"
"POC26003","Carangidae","Decapterus","spp",1,NA,"AD","Passing",44.062,1236.2281,"Carangidae Decapterus spp"
"POC26001","Synodontidae","Synodus","indicus",1,NA,"AD","Passing",21.904,1223.86501,"Synodontidae Synodus indicus"
"POC26001","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",23.16333,1280.9743,"Carangidae Carangoides chrysophrys"
"POC26001","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",23.16333,1270.69496,"Carangidae Carangoides chrysophrys"
