"sample","scientific","maxn","family","genus","species"
"POC24006","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC24007","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC24008","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC24009","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC24010","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC25001","Carangidae Carangoides caeruleopinnatus",2,"Carangidae","Carangoides","caeruleopinnatus"
"POC25002","Carangidae Carangoides caeruleopinnatus",1,"Carangidae","Carangoides","caeruleopinnatus"
"POC25004","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC25005","Carangidae Carangoides caeruleopinnatus",1,"Carangidae","Carangoides","caeruleopinnatus"
"POC26001","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC26002","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC26003","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC26004","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC26005","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC37001","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC37002","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC37003","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC37004","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC37005","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC38001","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC38002","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC38004","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC38005","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC39001","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC39002","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC39003","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC39004","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC39005","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11001","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys"
"POC11002","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys"
"POC11003","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys"
"POC11004","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys"
"POC11005","Carangidae Carangoides chrysophrys",5,"Carangidae","Carangoides","chrysophrys"
"POC11009","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC11011","Carangidae Carangoides chrysophrys",9,"Carangidae","Carangoides","chrysophrys"
"POC11012","Carangidae Carangoides chrysophrys",8,"Carangidae","Carangoides","chrysophrys"
"POC11013","Carangidae Carangoides chrysophrys",12,"Carangidae","Carangoides","chrysophrys"
"POC11014","Carangidae Carangoides chrysophrys",7,"Carangidae","Carangoides","chrysophrys"
"POC11015","Carangidae Carangoides chrysophrys",8,"Carangidae","Carangoides","chrysophrys"
"POC12001","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC12002","Carangidae Carangoides chrysophrys",11,"Carangidae","Carangoides","chrysophrys"
"POC12003","Carangidae Carangoides chrysophrys",5,"Carangidae","Carangoides","chrysophrys"
"POC12004","Carangidae Carangoides chrysophrys",6,"Carangidae","Carangoides","chrysophrys"
"POC12005","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC12006","Carangidae Carangoides chrysophrys",7,"Carangidae","Carangoides","chrysophrys"
"POC12007","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys"
"POC12008","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC12009","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC12010","Carangidae Carangoides chrysophrys",7,"Carangidae","Carangoides","chrysophrys"
"POC13001","Carangidae Carangoides chrysophrys",9,"Carangidae","Carangoides","chrysophrys"
"POC13002","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC13003","Carangidae Carangoides chrysophrys",6,"Carangidae","Carangoides","chrysophrys"
"POC13004","Carangidae Carangoides chrysophrys",7,"Carangidae","Carangoides","chrysophrys"
"POC13005","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys"
"POC13007","Carangidae Carangoides chrysophrys",6,"Carangidae","Carangoides","chrysophrys"
"POC13008","Carangidae Carangoides chrysophrys",9,"Carangidae","Carangoides","chrysophrys"
"POC13009","Carangidae Carangoides chrysophrys",13,"Carangidae","Carangoides","chrysophrys"
"POC13010","Carangidae Carangoides chrysophrys",5,"Carangidae","Carangoides","chrysophrys"
"POC24006","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys"
"POC24007","Carangidae Carangoides chrysophrys",4,"Carangidae","Carangoides","chrysophrys"
"POC24008","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC24009","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC24010","Carangidae Carangoides chrysophrys",12,"Carangidae","Carangoides","chrysophrys"
"POC25001","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC25002","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC25004","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC25005","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC26001","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC26002","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys"
"POC26003","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys"
"POC26004","Carangidae Carangoides chrysophrys",8,"Carangidae","Carangoides","chrysophrys"
"POC26005","Carangidae Carangoides chrysophrys",6,"Carangidae","Carangoides","chrysophrys"
"POC37001","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC37002","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC37003","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC37004","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC37005","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC38001","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC38002","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC38004","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC38005","Carangidae Carangoides chrysophrys",2,"Carangidae","Carangoides","chrysophrys"
"POC39001","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC39002","Carangidae Carangoides chrysophrys",0,"Carangidae","Carangoides","chrysophrys"
"POC39003","Carangidae Carangoides chrysophrys",3,"Carangidae","Carangoides","chrysophrys"
"POC39004","Carangidae Carangoides chrysophrys",6,"Carangidae","Carangoides","chrysophrys"
"POC39005","Carangidae Carangoides chrysophrys",1,"Carangidae","Carangoides","chrysophrys"
"POC11001","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11002","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11003","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11004","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11005","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11009","Carangidae Carangoides malabaricus",1,"Carangidae","Carangoides","malabaricus"
"POC11011","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11012","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11013","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11014","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC11015","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12001","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12002","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12003","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12004","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12005","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12006","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12007","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12008","Carangidae Carangoides malabaricus",1,"Carangidae","Carangoides","malabaricus"
"POC12009","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC12010","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13001","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13002","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13003","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13004","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13005","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13007","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13008","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13009","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC13010","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC24006","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
"POC24007","Carangidae Carangoides malabaricus",0,"Carangidae","Carangoides","malabaricus"
