"sample","family","genus","species","length","number","range","activity"
"POC11001","Lethrinidae","Gymnocranius","grandoculis",344.59596,1,2183.08028,"Passing"
"POC11001","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC11001","Lutjanidae","Lutjanus","malabaricus",NA,1,1681.04945,"Passing"
"POC11001","Lutjanidae","Lutjanus","malabaricus",407.10831,1,1590.58381,"Passing"
"POC11001","Lutjanidae","Lutjanus","malabaricus",464.96741,1,2035.09795,"Passing"
"POC11001","Lutjanidae","Lutjanus","malabaricus",428.52625,1,2460.84982,"Passing"
"POC11001","Lutjanidae","Lutjanus","russellii",NA,1,2170.62878,"Passing"
"POC11001","Lutjanidae","Lutjanus","sebae",399.78858,1,1469.09326,"Passing"
"POC11001","Lutjanidae","Lutjanus","sebae",475.81194,1,1507.25114,"Passing"
"POC11001","Lutjanidae","Lutjanus","vitta",282.17846,1,1571.467,"Passing"
"POC11001","Lutjanidae","Pristipomoides","multidens",516.45798,1,2447.66136,"Passing"
"POC11001","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC11001","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC11001","Nemipteridae","Nemipterus","spp",NA,0,NA,NA
"POC11001","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC11001","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC11001","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC11001","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC11001","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC11001","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC11001","Serranidae","Epinephelus","areolatus",NA,1,1850.65716,"Passing"
"POC11001","Serranidae","Epinephelus","areolatus",NA,1,2053.26786,"Passing"
"POC11001","Serranidae","Epinephelus","malabaricus",NA,1,1703.9659,"Passing"
"POC11001","Sparidae","Argyrops","spinifer",NA,1,1587.619,"Passing"
"POC11001","Sparidae","Argyrops","spinifer",NA,1,1573.21641,"Passing"
"POC11001","Sparidae","Argyrops","spinifer",238.93999,1,2133.85667,"Passing"
"POC11001","Sparidae","Argyrops","spinifer",265.36995,1,1865.70941,"Passing"
"POC11001","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC11001","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC11001","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC11001","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC11001","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC11001","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC11001","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC11001","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC11001","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC11001","Tetraodontidae","Lagocephalus","lunaris",NA,0,NA,NA
"POC11001","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC11001","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC11002","Ariidae","Netuma","thalassina",397.36251,1,1636.84872,"Passing"
"POC11002","Balistidae","Abalistes","stellatus",NA,1,2593.51811,"Passing"
"POC11002","Balistidae","Abalistes","stellatus",NA,1,2405.56277,"Passing"
"POC11002","Balistidae","Abalistes","stellatus",272.72946,1,1877.25914,"Passing"
"POC11002","Bothidae","Unknown","spp",NA,0,NA,NA
"POC11002","Carangidae","Carangoides","caeruleopinnatus",147.54991,1,4413.92742,"Passing"
"POC11002","Carangidae","Carangoides","chrysophrys",NA,1,2073.883,"Passing"
"POC11002","Carangidae","Carangoides","chrysophrys",NA,1,3047.41586,"Passing"
"POC11002","Carangidae","Carangoides","chrysophrys",450.97867,1,1914.95305,"Passing"
"POC11002","Carangidae","Carangoides","chrysophrys",491.64985,1,2057.57772,"Passing"
"POC11002","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC11002","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC11002","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC11002","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC11002","Carangidae","Caranx","ignobilis",637.44138,1,2612.05046,"Passing"
"POC11002","Carangidae","Caranx","tille",NA,0,NA,NA
"POC11002","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC11002","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC11002","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC11002","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC11002","Carcharhinidae","Carcharhinus","coatesi",NA,1,2075.44907,"Passing"
"POC11002","Carcharhinidae","Carcharhinus","coatesi",607.34107,1,2075.68268,"Passing"
"POC11002","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC11002","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC11002","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC11002","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC11002","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,NA
"POC11002","Echeneidae","Echeneis","naucrates",228.00015,1,2681.00936,"Passing"
"POC11002","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC11002","Labridae","Bodianus","solatus",NA,1,3706.53871,"Passing"
"POC11002","Lethrinidae","Gymnocranius","grandoculis",322.19133,1,2744.41775,"Passing"
"POC11002","Lethrinidae","Gymnocranius","grandoculis",411.63545,1,1596.28113,"Passing"
"POC11002","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC11002","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC11002","Lutjanidae","Lutjanus","russellii",318.96893,1,1759.50353,"Passing"
"POC11002","Lutjanidae","Lutjanus","russellii",320.68971,1,1688.48615,"Passing"
"POC11002","Lutjanidae","Lutjanus","russellii",269.84853,1,1917.29642,"Passing"
"POC11002","Lutjanidae","Lutjanus","sebae",NA,1,2831.38248,"Passing"
"POC11002","Lutjanidae","Lutjanus","sebae",374.72279,1,1483.75884,"Passing"
"POC11002","Lutjanidae","Lutjanus","sebae",400.22839,1,1380.83774,"Passing"
"POC11002","Lutjanidae","Lutjanus","sebae",324.99877,1,1344.5222,"Passing"
"POC11002","Lutjanidae","Lutjanus","sebae",456.83932,1,1733.36884,"Passing"
"POC11002","Lutjanidae","Lutjanus","sebae",431.18574,1,1440.09972,"Passing"
"POC11002","Lutjanidae","Lutjanus","vitta",296.69631,1,1710.81316,"Passing"
"POC11002","Lutjanidae","Lutjanus","vitta",281.92952,1,2275.37406,"Passing"
"POC11002","Lutjanidae","Pristipomoides","multidens",NA,1,1903.36624,"Passing"
"POC11002","Lutjanidae","Pristipomoides","multidens",NA,1,2103.89252,"Passing"
"POC11002","Lutjanidae","Pristipomoides","multidens",543.36687,1,1510.8306,"Passing"
"POC11002","Lutjanidae","Pristipomoides","multidens",533.64816,1,1735.81527,"Passing"
"POC11002","Lutjanidae","Pristipomoides","multidens",504.51776,1,2040.40192,"Passing"
"POC11002","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC11002","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC11002","Nemipteridae","Nemipterus","spp",NA,0,NA,NA
"POC11002","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC11002","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC11002","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC11002","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC11002","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC11002","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC11002","Serranidae","Epinephelus","areolatus",288.79427,1,1516.81198,"Passing"
"POC11002","Serranidae","Epinephelus","areolatus",285.14167,1,1390.76372,"Passing"
"POC11002","Serranidae","Epinephelus","areolatus",154.90789,1,1599.7468,"Passing"
"POC11002","Serranidae","Epinephelus","areolatus",294.07263,1,1484.94298,"Passing"
"POC11002","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC11002","Sparidae","Argyrops","spinifer",NA,1,2174.74165,"Passing"
"POC11002","Sparidae","Argyrops","spinifer",269.61278,1,1554.39284,"Passing"
"POC11002","Sparidae","Argyrops","spinifer",276.64284,1,1626.95969,"Passing"
"POC11002","Sparidae","Argyrops","spinifer",247.60508,1,1749.82722,"Passing"
"POC11002","Sparidae","Argyrops","spinifer",255.31698,1,2111.79415,"Passing"
"POC11002","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC11002","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC11002","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC11002","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC11002","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC11002","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC11002","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC11002","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC11002","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC11002","Tetraodontidae","Lagocephalus","lunaris",372.23314,1,2877.50579,"Passing"
"POC11002","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC11002","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC11003","Ariidae","Netuma","thalassina",NA,1,1198.84011,"Passing"
"POC11003","Balistidae","Abalistes","stellatus",NA,0,NA,NA
"POC11003","Bothidae","Unknown","spp",NA,0,NA,NA
"POC11003","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC11003","Carangidae","Carangoides","chrysophrys",NA,1,3422.70489,"Passing"
"POC11003","Carangidae","Carangoides","chrysophrys",244.15585,1,3597.27279,"Passing"
"POC11003","Carangidae","Carangoides","chrysophrys",261.87245,1,2575.84961,"Passing"
"POC11003","Carangidae","Carangoides","chrysophrys",226.6839,1,2919.39667,"Passing"
"POC11003","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC11003","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC11003","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC11003","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC11003","Carangidae","Caranx","ignobilis",NA,0,NA,NA
"POC11003","Carangidae","Caranx","tille",NA,0,NA,NA
"POC11003","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC11003","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC11003","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC11003","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC11003","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC11003","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC11003","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC11003","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC11003","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC11003","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,NA
"POC11003","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC11003","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC11003","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC11003","Lethrinidae","Gymnocranius","grandoculis",NA,1,2003.26513,"Passing"
"POC11003","Lethrinidae","Gymnocranius","grandoculis",NA,1,2005.74994,"Passing"
"POC11003","Lethrinidae","Gymnocranius","grandoculis",327.53856,1,1919.87801,"Passing"
"POC11003","Lethrinidae","Lethrinus","lentjan",327.62023,1,1378.17834,"Passing"
"POC11003","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC11003","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC11003","Lutjanidae","Lutjanus","sebae",NA,1,1390.97692,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",NA,1,1223.8875,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",NA,1,1289.97284,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",NA,1,1475.98739,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",425.43031,1,1260.42893,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",427.78464,1,1349.01204,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",422.69956,1,1359.01353,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",348.38756,1,1352.83465,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",375.16996,1,1129.87594,"Passing"
"POC11003","Lutjanidae","Lutjanus","sebae",417.10719,1,1130.59033,"Passing"
"POC11003","Lutjanidae","Lutjanus","vitta",NA,1,1828.9833,"Passing"
"POC11003","Lutjanidae","Lutjanus","vitta",NA,1,1821.59429,"Passing"
"POC11003","Lutjanidae","Pristipomoides","multidens",277.63893,1,2507.97738,"Passing"
"POC11003","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC11003","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC11003","Nemipteridae","Nemipterus","spp",NA,0,NA,NA
"POC11003","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC11003","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC11003","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC11003","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC11003","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC11003","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC11003","Serranidae","Epinephelus","areolatus",NA,1,1315.77095,"Passing"
"POC11003","Serranidae","Epinephelus","areolatus",NA,1,1225.44126,"Passing"
"POC11003","Serranidae","Epinephelus","areolatus",303.93531,1,1301.06192,"Passing"
"POC11003","Serranidae","Epinephelus","areolatus",229.46814,1,1265.38222,"Passing"
"POC11003","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC11003","Sparidae","Argyrops","spinifer",228.99807,1,1850.17012,"Passing"
"POC11003","Sparidae","Argyrops","spinifer",286.09849,1,1674.01215,"Passing"
"POC11003","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC11003","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC11003","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC11003","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC11003","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC11003","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC11003","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC11003","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC11003","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC11003","Tetraodontidae","Lagocephalus","lunaris",NA,0,NA,NA
"POC11003","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC11003","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC11005","Ariidae","Netuma","thalassina",NA,0,NA,NA
"POC11005","Balistidae","Abalistes","stellatus",180.32142,1,1996.74771,"Passing"
"POC11005","Bothidae","Unknown","spp",NA,0,NA,NA
"POC11005","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC11005","Carangidae","Carangoides","chrysophrys",NA,1,3175.21476,"Passing"
"POC11005","Carangidae","Carangoides","chrysophrys",NA,1,2744.76798,"Passing"
"POC11005","Carangidae","Carangoides","chrysophrys",NA,1,3152.41122,"Passing"
"POC11005","Carangidae","Carangoides","chrysophrys",238.82588,1,3088.07174,"Passing"
"POC11005","Carangidae","Carangoides","chrysophrys",200.38462,1,2960.45426,"Passing"
"POC11005","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC11005","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC11005","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC11005","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC11005","Carangidae","Caranx","ignobilis",642.56227,1,2606.55003,"Passing"
"POC11005","Carangidae","Caranx","tille",NA,0,NA,NA
"POC11005","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC11005","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC11005","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC11005","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC11005","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC11005","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC11005","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC11005","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC11005","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC11005","Carcharhinidae","Loxodon","macrorhinus",669.67764,1,2416.21317,"Passing"
"POC11005","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC11005","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC11005","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC11005","Lethrinidae","Gymnocranius","grandoculis",168.65885,1,2102.01934,"Passing"
"POC11005","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC11005","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC11005","Lutjanidae","Lutjanus","russellii",295.1956,1,2137.07991,"Passing"
"POC11005","Lutjanidae","Lutjanus","sebae",441.13213,1,2106.42528,"Passing"
"POC11005","Lutjanidae","Lutjanus","sebae",330.14791,1,2788.75818,"Passing"
"POC11005","Lutjanidae","Lutjanus","vitta",302.1787,1,1888.51562,"Passing"
"POC11005","Lutjanidae","Pristipomoides","multidens",356.77093,1,1891.86084,"Passing"
"POC11005","Lutjanidae","Pristipomoides","multidens",462.67739,1,1859.28573,"Passing"
"POC11005","Lutjanidae","Pristipomoides","multidens",393.91108,1,1801.53012,"Passing"
"POC11005","Lutjanidae","Pristipomoides","sieboldii",298.1561,1,2306.63742,"Passing"
"POC11005","Lutjanidae","Pristipomoides","sieboldii",267.86387,1,2325.49757,"Passing"
"POC11005","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC11005","Nemipteridae","Nemipterus","spp",272.46243,1,2099.10127,"Passing"
"POC11005","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC11005","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC11005","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC11005","Rhinidae","Rhynchobatus","australiae",NA,1,785.07054,"Passing"
"POC11005","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC11005","Serranidae","Epinephelus","amblycephalus",448.9826,1,1644.55213,"Passing"
"POC11005","Serranidae","Epinephelus","areolatus",218.46776,1,1948.12198,"Passing"
"POC11005","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC11005","Sparidae","Argyrops","spinifer",225.46739,1,2429.08974,"Passing"
"POC11005","Sparidae","Argyrops","spinifer",292.41624,1,2485.38157,"Passing"
"POC11005","Sparidae","Argyrops","spinifer",265.7135,1,1457.88228,"Passing"
"POC11005","Sparidae","Argyrops","spinifer",252.5575,1,1414.84046,"Passing"
"POC11005","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC11005","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC11005","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC11005","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC11005","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC11005","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC11005","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC11005","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC11005","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC11005","Tetraodontidae","Lagocephalus","lunaris",NA,0,NA,NA
"POC11005","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC11005","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC11009","Ariidae","Netuma","thalassina",NA,0,NA,NA
"POC11009","Balistidae","Abalistes","stellatus",NA,0,NA,NA
"POC11009","Bothidae","Unknown","spp",NA,0,NA,NA
"POC11009","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC11009","Carangidae","Carangoides","chrysophrys",222.08594,1,2357.66484,"Passing"
"POC11009","Carangidae","Carangoides","chrysophrys",195.55189,1,1899.39328,"Passing"
"POC11009","Carangidae","Carangoides","chrysophrys",272.58059,1,2108.32958,"Passing"
"POC11009","Carangidae","Carangoides","malabaricus",197.44859,1,1948.95058,"Passing"
"POC11009","Carangidae","Carangoides","sp1",NA,1,3558.18917,"Passing"
"POC11009","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC11009","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC11009","Carangidae","Caranx","ignobilis",NA,1,1811.32878,"Passing"
"POC11009","Carangidae","Caranx","ignobilis",NA,1,1648.70748,"Passing"
"POC11009","Carangidae","Caranx","tille",NA,0,NA,NA
"POC11009","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC11009","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC11009","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC11009","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC11009","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC11009","Carcharhinidae","Carcharhinus","plumbeus",1005.40515,1,1886.55069,"Passing"
"POC11009","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC11009","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC11009","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC11009","Carcharhinidae","Loxodon","macrorhinus",586.76825,1,2620.20317,"Passing"
"POC11009","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC11009","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC11009","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC11009","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,NA
"POC11009","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC11009","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC11009","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC11009","Lutjanidae","Lutjanus","sebae",NA,0,NA,NA
"POC11009","Lutjanidae","Lutjanus","vitta",NA,0,NA,NA
"POC11009","Lutjanidae","Pristipomoides","multidens",NA,1,2262.41542,"Passing"
"POC11009","Lutjanidae","Pristipomoides","multidens",NA,1,1529.36067,"Passing"
"POC11009","Lutjanidae","Pristipomoides","multidens",NA,1,1524.61629,"Passing"
"POC11009","Lutjanidae","Pristipomoides","multidens",292.52195,1,2263.28689,"Passing"
"POC11009","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC11009","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC11009","Nemipteridae","Nemipterus","spp",82.48412,1,1196.60635,"Passing"
"POC11009","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC11009","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC11009","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC11009","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC11009","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC11009","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC11009","Serranidae","Epinephelus","areolatus",NA,0,NA,NA
"POC11009","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC11009","Sparidae","Argyrops","spinifer",NA,1,1411.9171,"Passing"
"POC11009","Sparidae","Argyrops","spinifer",233.27647,1,1617.37335,"Feeding"
"POC11009","Sparidae","Argyrops","spinifer",248.09876,1,2913.3018,"Passing"
"POC11009","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC11009","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC11009","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC11009","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC11009","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC11009","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC11009","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC11009","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC11009","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC11009","Tetraodontidae","Lagocephalus","lunaris",356.17872,1,2310.53438,"Passing"
"POC11009","Tetraodontidae","Lagocephalus","lunaris",414.99278,1,2396.44986,"Passing"
"POC11009","Tetraodontidae","Lagocephalus","lunaris",357.27208,1,2095.317,"Passing"
"POC11009","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC11009","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC11011","Ariidae","Netuma","thalassina",NA,0,NA,NA
"POC11011","Balistidae","Abalistes","stellatus",NA,0,NA,NA
"POC11011","Bothidae","Unknown","spp",NA,1,1226.12597,"Passing"
"POC11011","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC11011","Carangidae","Carangoides","chrysophrys",225.8898,1,1806.28533,"Passing"
"POC11011","Carangidae","Carangoides","chrysophrys",198.34785,1,1635.70953,"Passing"
