"sample","family","genus","species","length","number","range","activity","date","time","depth","location","site","status","latitude","longitude","observer","successful.count","successful.length","mean.relief","sd.relief","fov.Limited","fov.Open","broad..Octocoral.Black","broad..Unconsolidated","detailed..Octocoral.Black..Branching..3D...Type.1","detailed..Octocoral.Black..Branching..3D...Type.2","detailed..Octocoral.Black..Fan..2D.","detailed..Octocoral.Black..Whip","detailed..Unconsolidated..Sand...mud..coarse.sand.","detailed..Unconsolidated..Sand...mud..fine.sand.","bedform..2D.Ripples...10cm.height.","bedform..3D.Ripples...10cm.height.","bedform..Bioturbated.","bedform..None."
"POC11001","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carcharhinidae","Loxodon","macrorhinus",605.13262,1,2590.9685,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Echeneidae","Echeneis","naucrates",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Labridae","Bodianus","solatus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lethrinidae","Gymnocranius","grandoculis",362.09301,1,3088.59189,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lethrinidae","Gymnocranius","grandoculis",344.59596,1,2183.08028,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","malabaricus",NA,1,1681.04945,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","malabaricus",407.10831,1,1590.58381,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","malabaricus",464.96741,1,2035.09795,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","malabaricus",428.52625,1,2460.84982,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","russellii",NA,1,2170.62878,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","sebae",399.78858,1,1469.09326,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","sebae",475.81194,1,1507.25114,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Lutjanus","vitta",282.17846,1,1571.467,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Pristipomoides","multidens",516.45798,1,2447.66136,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Mullidae","Upeneus","moluccensis",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Nemipteridae","Nemipterus","spp",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Platycephalidae","Unknown","spp",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Scombridae","Scomberomorus","spp",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Serranidae","Epinephelus","areolatus",NA,1,1850.65716,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Serranidae","Epinephelus","areolatus",NA,1,2053.26786,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Serranidae","Epinephelus","malabaricus",NA,1,1703.9659,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sparidae","Argyrops","spinifer",NA,1,1587.619,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sparidae","Argyrops","spinifer",NA,1,1573.21641,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sparidae","Argyrops","spinifer",238.93999,1,2133.85667,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sparidae","Argyrops","spinifer",265.36995,1,1865.70941,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Synodontidae","Saurida","undosquamis",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Synodontidae","Synodus","indicus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Terapontidae","Terapon","jarbua",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Tetraodontidae","Lagocephalus","lunaris",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Triakidae","Hemitriakis","falcata",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11002","Ariidae","Netuma","thalassina",397.36251,1,1636.84872,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Balistidae","Abalistes","stellatus",NA,1,2593.51811,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Balistidae","Abalistes","stellatus",NA,1,2405.56277,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Balistidae","Abalistes","stellatus",272.72946,1,1877.25914,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Bothidae","Unknown","spp",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","caeruleopinnatus",147.54991,1,4413.92742,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","chrysophrys",NA,1,2073.883,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","chrysophrys",NA,1,3047.41586,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","chrysophrys",450.97867,1,1914.95305,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","chrysophrys",491.64985,1,2057.57772,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","malabaricus",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","sp1",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","sp10",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Carangoides","spp",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Caranx","ignobilis",637.44138,1,2612.05046,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Caranx","tille",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Decapterus","spp",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Seriola","dumerili",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carangidae","Seriola","hippos",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Carcharhinus","coatesi",NA,1,2075.44907,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Carcharhinus","coatesi",607.34107,1,2075.68268,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,NA,20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11002","Echeneidae","Echeneis","naucrates",228.00015,1,2681.00936,"Passing",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
